Ua,Cp,theta,converged_Ua,converged_Cp,converged_theta,final objective,solver termination,solve_time
0.01652938375515746,8.826566599271416,220545.43120263433,0.04339397401476814,3.9183128461791665,442268.57948471024,47314.28826175772,optimal,0.7929463386535645
0.08933228529799411,76.42454678167688,4185652.4702828163,0.04339397391255861,3.9183128637666487,4898387.600726672,47314.288294627404,optimal,0.8868238925933838
0.003074728342731344,47.59236632992594,8040879.288243802,0.043393973912645004,3.918312863751421,3765916.9599617417,47314.28829459826,optimal,0.9914200305938721
0.061536807379179874,37.84239350454501,5028678.497997834,0.04339397391255936,3.9183128637665208,4882659.885133962,47314.28829462718,optimal,0.8766148090362549
0.03777738406668067,20.857581690536787,7969789.530779976,0.04339397391250567,3.9183128637759896,7632471.475449888,47314.28829464532,optimal,0.9423038959503174
0.029094857913948453,30.78035842812541,7569256.625058754,0.043393973912698496,3.91831286374198,3417780.924385098,47314.28829458026,optimal,0.9673140048980713
0.058818370731022265,1.8654652104244245,892708.8392058394,0.04339397391330232,3.9183128636356193,2181421.0342620043,47314.288294376725,optimal,0.9274499416351318
0.08907374942826815,79.61937903496134,9140324.466734111,0.04339397391255861,3.918312863766649,4898387.600519401,47314.288294627404,optimal,1.1095328330993652
0.09281845724277749,92.91378864869718,7312855.30566908,0.0433939739126212,3.9183128637556135,3976130.055807825,47314.28829460628,optimal,0.9543068408966064
0.05767346781209385,67.06900899236909,7010550.91175712,0.043393973912627205,3.918312863754565,3918676.5580839785,47314.28829460433,optimal,0.8937239646911621
