Ua,Cp,theta,converged_Ua,converged_Cp,converged_theta,final objective,solver termination,solve_time
0.043669429019187044,9.947046070865081,21.955890913759667,0.04156105621759998,6.887830824739884,16.00475187870714,431.80837719774286,optimal,0.8370361328125
0.0342133564276044,8.341454133851277,19.162869505943554,0.04156105621759994,6.887830824739892,16.004751878707108,431.8083771977475,optimal,1.0095360279083252
0.04993852481839356,4.91444894650991,22.39182414235128,0.041561056217599944,6.887830824739892,16.004751878707108,431.8083771977472,optimal,0.8567790985107422
0.030769271545131854,7.9729493684664146,26.994264300400534,0.04156105621759994,6.887830824739892,16.004751878707104,431.8083771977474,optimal,1.6831490993499756
0.041244464763314025,7.474859258449364,12.406042093844045,0.04156105621759998,6.887830824739883,16.00475187870714,431.80837719774297,optimal,1.0277330875396729
0.03341811702289126,4.415322002651274,14.486148674988298,0.041561056217599944,6.887830824739892,16.004751878707108,431.8083771977475,optimal,1.0964982509613037
0.03882364082178777,6.988813096868422,25.821458232159014,0.04156105621759998,6.887830824739884,16.00475187870714,431.80837719774155,optimal,0.8599739074707031
0.046218527196706605,5.922284948639718,10.171935106653194,0.041561056217599944,6.887830824739892,16.0047518787071,431.80837719774803,optimal,1.0180821418762207
0.044143632291467366,5.24251769328475,16.53742893886624,0.04156105621759998,6.887830824739884,16.004751878707136,431.80837719774297,optimal,0.9733541011810303
0.036846539109149215,8.997587921925005,28.597889817648635,0.041561056217599944,6.887830824739892,16.004751878707115,431.8083771977478,optimal,1.1391630172729492
