variant,delay_order,parameterization,objective,rmse,mae,multistart_sampling_method,multistart_n_restarts,multistart_seed,multistart_best_objective,fit_Ua,alt_Ua,fit_Cp,alt_Cp,fit_K,alt_K,fit_tau,alt_tau,fit_theta,alt_theta
reformulated,2,physics,SSE,0.7185132139971948,0.4573976077999519,latin_hypercube,10,532,465.1513760584056,0.04157920308699404,,6.862736175595928,,,0.769615519880168,,165.05213342442798,16.034829418065375,16.034829418065375
reformulated,2,io,SSE,0.7185132139971958,0.45739760779995065,latin_hypercube,10,532,465.15137605840846,,0.0415792030869939,,6.862736175595941,0.7696155198801705,,165.05213342442886,,16.034829418065147,16.034829418065147
reformulated,3,physics,SSE,0.6922821539557623,0.4414987378057523,latin_hypercube,10,532,431.80837719774155,0.04156105621759998,,6.887830824739884,,,0.7699515583160004,,165.72800240392047,16.004751878707136,16.004751878707136
reformulated,3,io,SSE,0.6922821539557623,0.44149873780574556,latin_hypercube,10,532,431.80837719774627,,0.04156105621759983,,6.8878308247398605,0.769951558316003,,165.7280024039205,,16.004751878707115,16.004751878707115
