K,tau,theta,converged_K,converged_tau,converged_theta,final objective,solver termination,solve_time
16.528549875362376,8825.654856731719,220545.43120263433,0.7374295809850546,90.29624416336887,2422238.0679420093,47314.28829445083,optimal,1.206334114074707
89.33217872645852,76424.31102502291,4185652.4702828163,0.7374295809939418,90.29624416658285,4898387.600636123,47314.28829462748,optimal,0.8850407600402832
3.0737600495845565,47591.84224887251,8040879.288243802,0.7374295809939417,90.29624416658285,4898387.59706677,47314.28829462748,optimal,0.9918279647827148
61.536423128043076,37841.77192288582,5028678.497997834,0.737429580993589,90.29624416645525,4502211.05858362,47314.288294620426,optimal,1.3453559875488281
37.776762456531394,20856.790259230806,7969789.530779976,0.7374295809939418,90.29624416658304,4898443.580359926,47314.28829462744,optimal,0.8351850509643555
29.09414956449552,30779.666225479865,7569256.625058754,0.7374295809939425,90.29624416658311,4899901.754998761,47314.288294627455,optimal,1.200261116027832
58.81795932243178,1864.4838562443324,892708.8392058394,0.737429580993899,90.29624416656736,4843745.057026987,47314.28829462655,optimal,1.0228092670440674
89.07364027393339,79619.17522691743,9140324.466734111,0.7254471589521632,86.73761508085465,1504.3548260731911,47179.28201238106,optimal,1.1216697692871094
92.8183854984479,92913.7177859459,7312855.30566908,0.7374295809934339,90.29624416639906,4363339.249828666,47314.288294617356,optimal,1.0961520671844482
57.673044965808835,67068.67967949521,7010550.91175712,0.7374295809935502,90.29624416644114,4466084.835610275,47314.288294619524,optimal,1.5098659992218018
