K,tau,theta,converged_K,converged_tau,converged_theta,final objective,solver termination,solve_time
0.8440331482302446,189.558717257209,21.955890913759667,0.7696155198801709,165.05213342442886,16.03482941806516,465.15137605840846,optimal,0.628277063369751
0.7305602771312528,176.17878444876064,19.162869505943554,0.7696155198801705,165.05213342442877,16.03482941806515,465.1513760584098,optimal,0.6981589794158936
0.9192622978207228,147.6204078875826,22.39182414235128,0.7696155198801706,165.05213342442886,16.034829418065147,465.1513760584109,optimal,0.8700010776519775
0.6892312585415823,173.1079114038868,26.994264300400534,0.7696155198801707,165.05213342442886,16.034829418065158,465.15137605840863,optimal,0.6123628616333008
0.8149335771597683,168.95716048707803,12.406042093844045,0.7696155198801705,165.05213342442883,16.03482941806515,465.15137605841,optimal,0.7631409168243408
0.7210174042746952,143.46101668876062,14.486148674988298,0.7696155198801705,165.05213342442886,16.03482941806515,465.1513760584109,optimal,0.7092680931091309
0.7858836898614533,164.90677580723684,25.821458232159014,0.7696155198801706,165.0521334244289,16.034829418065147,465.15137605840965,optimal,0.6576881408691406
0.8746223263604793,156.01904123866433,10.171935106653194,0.7696155198801706,165.05213342442886,16.03482941806515,465.15137605841096,optimal,0.7553110122680664
0.8497235874976085,150.35431411070624,16.53742893886624,0.7696155198801706,165.0521334244289,16.034829418065147,465.1513760584108,optimal,0.752417802810669
0.7621584693097906,181.6465660160417,28.597889817648635,0.7696155198801705,165.05213342442886,16.034829418065144,465.1513760584107,optimal,0.87595534324646
