K,tau,theta,converged_K,converged_tau,converged_theta,final objective,solver termination,solve_time
16.528549875362376,8825.654856731719,220545.43120263433,0.7374295802780536,90.29624396697326,9984752.692040587,47314.28829548967,optimal,2.6555140018463135
89.33217872645852,76424.31102502291,4185652.4702828163,0.7374295802780536,90.29624396697321,9984754.408590274,47314.288295489605,optimal,0.6955430507659912
3.0737600495845565,47591.84224887251,8040879.288243802,0.7374295802780535,90.29624396697318,9984754.398347307,47314.2882954896,optimal,0.8192131519317627
61.536423128043076,37841.77192288582,5028678.497997834,0.7374295802780767,90.29624396697947,9984992.774191217,47314.288295489605,optimal,1.0514380931854248
37.776762456531394,20856.790259230806,7969789.530779976,0.7374295802780526,90.29624396697292,9984748.684547625,47314.288295489656,optimal,0.742516040802002
29.09414956449552,30779.666225479865,7569256.625058754,0.7374295802789074,90.2962439672114,9990928.603159364,47314.288295488586,optimal,1.2860617637634277
58.81795932243178,1864.4838562443324,892708.8392058394,0.7374295802780885,90.29624396698296,9985074.472436154,47314.2882954896,optimal,0.7370541095733643
89.07364027393339,79619.17522691743,9140324.466734111,0.7696155198801735,165.05213342443355,16.03482941806259,465.1513760584074,optimal,0.7993190288543701
92.8183854984479,92913.7177859459,7312855.30566908,0.7374295802780663,90.29624396697666,9984851.02304239,47314.28829548963,optimal,0.7343392372131348
57.673044965808835,67068.67967949521,7010550.91175712,0.7374295802783308,90.29624396705049,9986160.286140924,47314.28829548916,optimal,1.1016979217529297
