dataset_key,delay_order,theta,best_K,best_tau,best_sse
sine,3,10.0,0.75,163.33333333333334,1815.3161860438115
sine,3,15.0,0.75,160.0,911.8854822724825
sine,3,20.0,0.75,156.66666666666669,1006.1650585188279
sine,3,25.0,0.75,153.33333333333334,2069.445511404472
sine,3,30.0,0.75,150.0,4043.5596626941406
