beta_1,beta_2,beta_3,beta_4,A,D,E,ME,obj,delay,period,run
0.019277476,0.040027054,0.032750417,0.012835054,6.739435068,13.22214135,-1.042169413,7.773526535,41.36248127,6,0.5,1
0.019673137,0.049283901,0.035655603,0.012981771,6.724671098,13.21690316,-1.010001435,7.725957796,37.95665904,6,0.5,2
0.018994627,0.043786398,0.035902903,0.012663694,6.739711875,13.30732956,-0.949540143,7.681160958,34.83180193,6,0.5,3
0.009285202,0.012887222,0.065174369,0.006342931,6.763538361,14.49516696,-0.750368113,7.507667002,173.8198768,6,2,1
0.009744289,0.018791266,0.064988488,0.006468141,6.734469613,14.56770941,-0.540179533,7.267965703,73.6864657,6,2,2
0.00941622,0.014140072,0.066067863,0.00629315,6.745119268,14.46976094,-0.709468116,7.448284439,106.123973,6,2,3
0.007886921,0.01618372,0.080377476,0.006073038,6.877655613,15.37395169,-0.425009471,7.291019438,123.351994,6,5,1
0.00817902,0.019604624,0.084535968,0.00608421,6.850990064,15.31457169,-0.350158307,7.1892106,87.48314734,6,5,2
0.008210618,0.01595318,0.080544741,0.005942112,6.833945289,15.21609209,-0.473697302,7.295795593,108.6532234,6,5,3
0.012123112,0.040347317,0.056142605,0.009386196,6.847177812,13.77660589,-0.539492678,7.379472094,20.60027782,6,0,1
0.011202161,0.033837964,0.058428513,0.008557177,6.836404289,13.73696102,-0.550488075,7.380330225,16.20547375,6,0,2
0.015554586,0.031163336,0.038534926,0.010917237,6.791750484,13.49301493,-0.783415338,7.568310046,20.90489412,6,0,3
0.018967036,0.043628117,0.035805957,0.012628007,6.738644021,13.30184919,-0.952733661,7.683266941,55.30981959,7,0.5,1
0.019671177,0.054262393,0.038600678,0.01297976,6.724209248,13.27501799,-0.94679912,7.662196829,52.18474088,7,0.5,2
0.018155633,0.046926807,0.040417285,0.012103558,6.738485507,13.4101856,-0.830690816,7.561181611,50.61036617,7,0.5,3
0.00927951,0.015772791,0.071910046,0.006286463,6.753341193,14.51000044,-0.67093974,7.417957592,197.1427967,7,2,1
0.010051486,0.024307617,0.069536514,0.006614565,6.724555438,14.60231269,-0.436572654,7.154136553,77.31407957,7,2,2
0.009682348,0.018513398,0.071311859,0.006477304,6.744677474,14.56995873,-0.567645761,7.305818464,149.2174102,7,2,3
0.008079534,0.020759826,0.088146587,0.00622425,6.877626195,15.39432181,-0.313036101,7.178813495,135.9303103,7,5,1
0.008505556,0.025029426,0.089777282,0.006266379,6.843461772,15.32783269,-0.237650145,7.068779778,60.58512749,7,5,2
0.008667857,0.022868418,0.08570087,0.00627583,6.834569888,15.31888757,-0.27203468,7.094205289,119.3774643,7,5,3
0.013505527,0.051148436,0.056568804,0.010457367,6.848797951,13.72525223,-0.560048189,7.400943677,20.82501794,7,0,1
0.012391007,0.043553237,0.059034283,0.009466221,6.837888232,13.7174146,-0.536062379,7.366735277,16.81997752,7,0,2
0.016372057,0.036490488,0.04021624,0.011492547,6.792099207,13.46141673,-0.787218402,7.572161574,22.74469009,7,0,3
0.0185973,0.046797333,0.038993028,0.012380629,6.737942228,13.37211729,-0.872885422,7.602730918,76.19215868,8,0.5,1
0.020712709,0.052695114,0.035304679,0.013530157,6.715549548,13.13448343,-1.070616074,7.777222526,64.72243844,8,0.5,2
0.019201493,0.046025424,0.03691357,0.01267711,6.730342873,13.28491709,-0.944144185,7.666317766,64.06646971,8,0.5,3
0.009494198,0.020608727,0.07915694,0.00643835,6.752771536,14.5860119,-0.54209624,7.288368138,251.3074022,8,2,1
0.010489481,0.031515375,0.07516906,0.006908982,6.724457485,14.65249435,-0.340762265,7.057865177,108.6448373,8,2,2
0.010291167,0.026640663,0.075002259,0.006825516,6.735283408,14.65866293,-0.394905318,7.123200165,162.6431233,8,2,3
0.008683482,0.030748819,0.093525618,0.006692366,6.878759632,15.48960673,-0.110488268,6.976562281,147.9760963,8,5,1
0.009030059,0.034884609,0.09695171,0.006655318,6.844380749,15.36629248,-0.095208185,6.926511864,66.65847721,8,5,2
0.008995411,0.030043174,0.094148042,0.006515658,6.834904107,15.32780367,-0.163403557,6.985478114,129.7197242,8,5,3
0.015551862,0.065799723,0.055973455,0.012042791,6.850921007,13.62435331,-0.631053162,7.473179057,21.31417152,8,0,1
0.012724002,0.051660157,0.065134567,0.009721502,6.837926311,13.66852417,-0.516473295,7.346967027,17.65974832,8,0,2
0.014920347,0.032408537,0.042594533,0.010376555,6.781872674,13.48520764,-0.728145081,7.503313451,20.37317613,8,0,3
0.017608504,0.0428536,0.039262873,0.011607895,6.72788716,13.36547724,-0.843088119,7.563146822,92.43282132,9,0.5,1
