beta_1,beta_2,beta_3,beta_4,A,D,E,ME,obj,delay,run,period
0.017338306339886766,0.023197443532533935,0.025354785451518754,0.011650249120176018,6.749847273794254,13.11260864883234,-1.202127497543957,7.944719137628383,50.600309182629736,1,1,0.5
0.01725074313221756,0.024372072078191146,0.025155759670590434,0.011358273773002758,6.726288958627984,13.025862416022317,-1.2347906085065061,7.953523389884908,50.82652804040932,1,2,0.5
0.01706298569383313,0.02337324159153053,0.02578166686221938,0.011375176336840839,6.740990600742128,13.114800260243479,-1.1762285903909073,7.909944727397643,44.066730854101394,1,3,0.5
0.008882968741067433,0.0044764685783999164,0.045975130733057736,0.006042236649197825,6.766500119382177,13.927036224002753,-1.3810473129756031,8.141703112814596,37.13697011512286,1,1,2.0
0.009074812555454833,0.007420054859633999,0.0466783700837052,0.005999989928110026,6.736583836860736,14.152667397809365,-1.025368565259446,7.755852868910388,44.18320249544875,1,2,2.0
0.009086943577736012,0.005672787370476118,0.04611930594811839,0.006047832636735459,6.7479992818344074,14.025257494184922,-1.2098740207440521,7.9519358434234615,35.483443277136274,1,3,2.0
0.0072090334727744195,0.004302898843854925,0.05623386404354098,0.005534125004475319,6.879030005148835,14.939157858819847,-1.2073221590218899,8.074991781288258,57.128899674430336,1,1,5.0
0.007332315897104915,0.005003022926388874,0.05884327402585963,0.005438661296574474,6.851814028974418,14.896033334150234,-1.1416036329657946,7.982027676701916,37.331249447108114,1,2,5.0
0.007535466653235038,0.004310939832578038,0.056139311770949676,0.005437256980825816,6.835431511022265,14.791523587764349,-1.2422455110897965,8.066065245860917,54.00997597839048,1,3,5.0
0.010139113515347197,0.019213336506072255,0.044384356614684595,0.007912094770563578,6.853482547656486,13.85574019652453,-0.6675807413605415,7.515015302082647,22.80204537865275,1,1,0.0
0.009155129335560633,0.012475371590414355,0.04365683697477099,0.006988895936650715,6.834681174162093,13.670714832299254,-0.8698605801095737,7.699155457140093,19.32778791114625,1,2,0.0
0.011462082758640205,0.011872195956389315,0.03390053044237061,0.008037710159884364,6.78876328384774,13.47307069713904,-0.910025598565079,7.69346871612392,16.331718621524786,1,3,0.0
0.018228755267110017,0.02641287630213975,0.026003060099982687,0.012250722199797927,6.750150863372867,13.095019823189876,-1.2197571107726355,7.962408080049193,41.33684082329688,2,1,0.5
0.017756049539946712,0.02712615079264735,0.02626443267751722,0.011676722560769452,6.726337430285298,13.039976000689109,-1.213715753937285,7.932362067391073,41.400547865983945,2,2,0.5
0.01753403872496234,0.026788100988951756,0.027210233624325737,0.011694407009910401,6.740638478218584,13.147223022750998,-1.1409850148902296,7.874120514359104,35.1902828344484,2,3,0.5
